no,sentence,case,label_adam,reason_adam,label_anthony,reason_anthony,label_yoshua,reason_yoshua
580,"Nah, kalo itu gue gatau.",fw,neutral,-,neutral,-,neutral,-
581,"Cuman ada temen gue, dia gasuka sama cowok.",fw,neutral,-,negative,-,neutral,-
582,Dia keseringan begaul.,fw,neutral,-,neutral,-,neutral,-
583,Vibesnya kena.,fw,neutral,-,neutral,-,neutral,-
584,"Suatu malam, di itu.",fw,neutral,-,neutral,-,neutral,-
585,Apa lagi namanya?,fw,neutral,-,neutral,-,neutral,-
586,Di karaoke.,fw,neutral,-,neutral,-,neutral,-
587,Iya.,fw,neutral,-,neutral,-,neutral,-
588,Di karaoke.,fw,neutral,-,neutral,-,neutral,-
589,Dapet tuh.,fw,neutral,-,neutral,-,neutral,-
590,Pertanyaannya gue gini.,fw,neutral,-,neutral,-,neutral,-
591,Lu bilang setelah di karaoke jadi kena kan?,fw,neutral,-,neutral,-,neutral,-
592,Ga dulu.,fw,neutral,-,neutral,-,neutral,-
593,Masih proses dulu.,fw,neutral,-,neutral,-,neutral,-
594,Tapi bahwa dia mau di karaoke aja kan sebenernya udah mengembarkan bahwa dia udah kan.,fw,neutral,-,neutral,-,neutral,-
595,"Iya, cuman kan dia lagi tipsi katanya.",fw,neutral,-,neutral,-,neutral,-
596,Lagi tipsi gitu.,fw,neutral,-,neutral,-,neutral,-
597,Berarti inner.,fw,neutral,-,neutral,-,neutral,
598,"Iya, yang karaoke itu shemale ya.",fw,neutral,-,neutral,-,neutral,-
599,Shemale ada.,fw,negative,seksualitas,negative,seksualitas,negative,seksualitas
600,Kan dia pasti liatnya cewek-cewek aja kan.,fw,neutral,-,neutral,-,neutral,
601,Tapi dia tau ini shemale.,fw,negative,seksualitas,negative,seksualitas,negative,seksualitas
602,Cuman kok enak juga.,fw,positive,kepuasan,positive,kepuasan,positive,kepuasan
603,Lanjut.,fw,neutral,-,neutral,-,neutral,-
604,Apa lagi namanya?,fw,neutral,-,neutral,-,neutral,-
605,Rasa penasaran berikutnya kan.,fw,neutral,-,neutral,-,neutral,-
606,Lobang ambiennya.,fw,neutral,-,neutral,-,neutral,-
607,Lanjut lagi.,fw,neutral,-,neutral,-,neutral,-
608,"Akhirnya sama cowok, Wak.",fw,neutral,-,neutral,-,neutral,-
609,Beneran.,fw,neutral,-,neutral,-,neutral,-
610,Ada.,fw,neutral,-,neutral,-,neutral,-
611,Gue bahkan punya temen.,fw,neutral,-,neutral,-,neutral,-
612,Temen deket banget.,fw,neutral,-,neutral,-,neutral,-
613,Pacar sama cewek.,fw,neutral,-,neutral,-,neutral,-
614,Gue kenal pacarnya.,fw,neutral,-,neutral,-,neutral,-
615,Temen juga.,fw,neutral,-,neutral,-,neutral,-
616,Tapi suatu hari ada cowok deketin nih temen gue ini.,fw,neutral,-,neutral,-,neutral,-
617,Temen gue meletek.,fw,neutral,-,neutral,-,neutral,-
618,"Tapi bahkan temen gue ini kamek-kamek gue juga bilang,",fw,neutral,-,neutral,-,neutral,-
619,dia tuh gay ga sih gitu.,fw,negative,seksualitas,negative,seksualitas,negative,seksualitas
620,"Dia, engga gue ga gay gitu.",fw,negative,seksualitas,negative,seksualitas,negative,seksualitas
621,"Terus gue sama anak-anak,",fw,neutral,-,neutral,-,neutral,-
622,kayaknya sih nunggu cowok yang tepat ketemu.,fw,neutral,-,neutral,kepuasan,neutral,-
623,Cowok yang tepat meletek.,fw,neutral,-,neutral,-,neutral,-
624,"Tapi poin gue adalah,",fw,neutral,-,neutral,-,neutral,-
625,gue tuh lebih kepada ngebelak.,fw,neutral,-,neutral,-,neutral,-
626,"Kalo mereka KTPnya orang Indonesia,",fw,neutral,-,neutral,-,neutral,-
627,ya berarti sewajarnya mereka hidup nyaman,fw,positive,pujian,positive,pujian,positive,pujian
628,sebagaimana orang Indonesia lainnya.,fw,positive,pujian,positive,pujian,positive,pujian
629,Karena ga adil kan.,fw,negative,ketidakpuasan,negative,ketidakpuasan,negative,ketidakpuasan
630,Duit pajak diambil.,fw,negative,ketidakpuasan,negative,ketidakpuasan,negative,ketidakpuasan
631,Giriran Pilpres atau Pilkada suaranya dipake.,fw,negative,ketidakpuasan,-,-,negative,ketidakpuasan
632,Berdasarkan hukum kita.,fw,neutral,-,neutral,-,neutral,-
633,Iya. Mereka diterima.,fw,neutral,-,neutral,-,neutral,-
634,Mereka diakui jadi orang Indonesia.,fw,neutral,-,neutral,kepuasan,neutral,-
635,Karena mereka hidupnya ga sama kayak orang Indonesia lainnya.,fw,neutral,-,negative,ketidakpuasan,negative,ketidakpuasan
636,Karena mereka gay.,fw,negative,seksualitas,negative,seksualitas,negative,seksualitas
637,Karena mereka dosa.,fw,negative,seksualitas,negative,hinaan,negative,hinaan
638,Karena lo takut mereka ngelebar.,fw,negative,seksualitas,negative,ketidakpuasan,negative,hinaan
639,Ya orang yang ngebantah nyokap.,fw,negative,hinaan,negative,pengancaman,negative,ketidakpuasan
640,Orang yang Islam tapi makan babi.,fw,negative,hinaan,negative,hinaan,negative,hinaan
641,Itu juga banyak.,fw,neutral,-,neutral,-,neutral,-
642,Orang yang suka maling.,fw,neutral,-,neutral,-,negative,hinaan
643,Orang yang suka ga adil dalam berdagang.,fw,negative,ketidakpuasan,negative,ketidakpuasan,negative,ketidakpuasan
644,Itu juga banyak.,fw,neutral,-,neutral,-,neutral,-
645,"Tapi kok kayaknya kekhawatiran mereka membanyak dan berlipat ganda,",fw,negative,ketidakpuasan,negative,ketidakpuasan,negative,ketidakpuasan
646,kok ga sama sama yang gay.,fw,negative,seksualitas,negative,seksualitas,negative,seksualitas
647,"Makanya argumen gue di video Youtube gue tuh gue bilang,",fw,neutral,-,neutral,-,neutral,-
648,"sebenernya tuh gue rasa,",fw,neutral,-,neutral,-,neutral,-
649,dasarnya tuh bukan agama.,fw,neutral,-,neutral,-,neutral,-
650,Dasarnya tuh benci.,fw,negative,pengancaman,neutral,-,negative,ketidakpuasan
651,Benci karena apa?,fw,neutral,-,neutral,-,neutral,-
652,Benci dasarnya takut.,fw,neutral,-,neutral,-,neutral,-
653,Takut dasarnya karena ga tau.,fw,neutral,-,neutral,-,neutral,-
654,Orang takut akan sesuatu yang mereka tidak tau.,fw,neutral,-,neutral,-,neutral,-
655,"Betul. Jadi,",fw,neutral,-,neutral,-,neutral,-
656,"poin gue itu adalah,",fw,neutral,-,neutral,-,neutral,-
657,"ya saling tau aja, berkenalan aja.",fw,neutral,-,neutral,-,neutral,-
658,"Karena orang yang bilang ganyang Malaysia,",fw,negative,pengancaman,negative,pengancaman,negative,pengancaman
659,pasti karena ga punya sahabat orang Malaysia.,fw,negative,ketidakpuasan,neutral,ketidakpuasan,negative,seksualitas
660,"Orang yang bilang bakar Cina,",fw,negative,pengancaman,negative,pengancaman,negative,pengancaman
661,pasti ga punya temen orang Cina.,fw,negative,ketidakpuasan,neutral,ketidakpuasan,negative,ketidakpuasan
662,Iya.,fw,neutral,-,neutral,-,neutral,-
663,Ada kesakit hati atau apa.,fw,neutral,-,neutral,ketidakpuasan,neutral,-
664,"Iya. Kalo dia punya temen orang Cina,",fw,neutral,-,neutral,-,neutral,-
665,ga akan berani dia ngomong ganyang Cina.,fw,positive,pujian,positive,pujian,neutral,-
666,Orang temennya Cina gitu.,fw,neutral,-,neutral,-,positive,kepuasan
667,Sama. Kebencian terhadap gay itu dasarnya karena itu.,fw,negative,seksualitas,negative,seksualitas,negative,seksualitas
668,"Pada saat yang bersamaan, menurut gue,",fw,neutral,-,neutral,-,neutral,-
669,hipokrit aja bangsa ini.,fw,negative,ketidakpuasan,negative,ketidakpuasan,negative,ketidakpuasan
670,"Karena di Indonesia,",fw,neutral,-,neutral,-,neutral,-
671,"politisinya, gue bisa nyebut nama menteri,",fw,neutral,-,neutral,-,neutral,-
672,"politisi, yang antara dirinya,",fw,neutral,-,neutral,-,neutral,-
673,"atau punya anak gay,",fw,negative,seksualitas,negative,seksualitas,negative,seksualitas
674,"yang kinerjanya kita terima dan kita pake,",fw,positive,pujian,positive,kepuasan,positive,pujian
675,pada diem-diem aja.,fw,neutral,-,neutral,-,neutral,-
676,"TV juga kalo ada baca, sebenernya ratingnya oke.",fw,neutral,-,positive,pujian,positive,kepuasan
677,"Tapi,",fw,neutral,-,neutral,-,neutral,-
678,ngerti ga sih? Ada hipotresi gitu disitu.,fw,neutral,-,neutral,ketidakpuasan,neutral,-
679,Sampai titik dimana menurut gue itu berlebihan.,fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
680,Kan sekarang kan di TV ga boleh crossdress.,fw,neutral,-,neutral,-,negative,ketidakpuasan
681,Crossdress apa?,fw,neutral,-,neutral,-,neutral,-
682,Cowok ga boleh berbaju cewek.,fw,neutral,-,neutral,-,neutral,-
683,Oh iya. Berbaju cewek.,fw,neutral,-,neutral,-,neutral,-
684,"Termasuk kalo misalkan yang crossdress,",fw,neutral,-,neutral,-,neutral,-
685,"bukan banci, termasuk kalo cowok.",fw,neutral,-,neutral,-,negative,seksualitas
686,"Tessy, Tessy Stingulat,",fw,negative,hinaan,-,-,neutral,-
687,jaman kita kan banci kan?,fw,negative,hinaan,negative,hinaan,negative,hinaan
688,Sekarang satpam kan dia?,fw,negative,hinaan,neutral,-,neutral,-
689,"Dia memerankan, iya.",fw,neutral,-,neutral,-,neutral,-
690,Padahal kan laki banget kan?,fw,neutral,-,neutral,-,neutral,-
691,"Laki banget, iya.",fw,neutral,-,neutral,-,neutral,-
692,Lebih lucu jaman dia jadi banci kan?,fw,negative,hinaan,negative,hinaan,negative,hinaan
693,Iya.,fw,neutral,-,neutral,-,neutral,-
694,Masa cuman karena ketakutan,fw,neutral,-,neutral,-,negative,ketidakpuasan
695,"yang berlebihan menurut gue,",fw,neutral,-,neutral,-,negative,ketidakpuasan
696,"udah mulai disproporsional,",fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
697,kayak gitu-gitu kok sampe jadi masalah gitu.,fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
698,Kayak dulu kan ada pelawak namanya Esther,fw,neutral,-,neutral,-,neutral,-
699,jaman-jaman kita kecil.,fw,neutral,-,neutral,-,neutral,-
700,Esther tuh ga tau.,fw,neutral,-,neutral,-,neutral,-
701,Ada. Lu kan dulu orang susah.,fw,negative,hinaan,negative,hinaan,negative,hinaan
702,Harusnya lu tau.,fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
703,Engga dong.,fw,neutral,-,neutral,-,neutral,-
704,Ga semua orang susah harus tau Esther dong.,fw,negative,hinaan,negative,hinaan,negative,hinaan
705,Jadi pelawak jaman dulu.,fw,neutral,-,neutral,-,neutral,-
706,Tau ada deh pelawak namanya Esther.,fw,neutral,-,neutral,-,neutral,-
707,Esther kayaknya tau ya gue?,fw,neutral,-,neutral,-,neutral,-
708,"Iya. Jaman dulu tuh,",fw,neutral,-,neutral,-,neutral,-
709,"maksud gue, ya kita Tessy aja lah.",fw,neutral,-,neutral,-,neutral,-
710,Tessy aja jaman kita banci.,fw,negative,hinaan,negative,hinaan,negative,hinaan
711,"Sekarang karena aturannya mengatakan seperti itu,",fw,neutral,-,neutral,pujian,neutral,-
712,"karena takut anak-anak terpengaruh,",fw,neutral,-,neutral,-,neutral,-
713,terus Tessy harus jadi sapam.,fw,negative,hinaan,-,-,neutral,-
714,"Padahal kan pertanyaannya,",fw,neutral,-,neutral,-,neutral,-
715,lah kok bisa anak-anak terpengaruh sama Tessy?,fw,neutral,-,neutral,-,neutral,-
716,Bukannya harusnya lebih besar pengaruh orang tuanya?,fw,neutral,-,neutral,ketidakpuasan,neutral,-
717,Ini asik nih ngobrol sama orang ini.,fw,positive,kepuasan,positive,kepuasan,positive,kepuasan
718,Luas nih pokoknya tau.,fw,positive,pujian,positive,kepuasan,positive,pujian
719,Buku-buku apa semua baca.,fw,positive,pujian,positive,kepuasan,positive,kepuasan
720,"Cuman memang gue ngerasa ya,",fw,neutral,-,neutral,ketidakpuasan,neutral,-
721,banyak sekali orang Indonesia tuh ga siap aja,fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
722,"kalau kita bicara terlalu jauh, terlalu luas.",fw,neutral,-,neutral,ketidakpuasan,neutral,-
723,Karena benturan-benturannya tuh banyak.,fw,neutral,-,neutral,ketidakpuasan,neutral,-
724,"Apalagi gue baca dari beberapa data-data lu,",fw,neutral,-,neutral,-,neutral,-
725,lu sempet berapa kali tuh disikat tuh.,fw,neutral,-,neutral,-,neutral,-
726,"Dari masalah pilkada, kucing.",fw,neutral,-,neutral,-,neutral,-
727,Gue juga kena tuh kucing tuh.,fw,neutral,-,neutral,-,neutral,-
728,Kena kucing gue di TikTok sempet pernah kena.,fw,neutral,-,neutral,-,neutral,-
729,Jadi anak-anak gue bikin konten.,fw,neutral,-,neutral,-,neutral,-
730,Oh gue inget!,fw,neutral,-,neutral,-,neutral,-
731,Gue inget orang mention gue soal lu.,fw,neutral,-,neutral,-,neutral,-
732,Iya gue inget.,fw,neutral,-,neutral,-,neutral,-
733,Jadi anak-anak gue bukan gue.,fw,neutral,-,neutral,-,neutral,-
734,Lu?,fw,neutral,-,neutral,-,neutral,-
735,Engga gue ga ada.,fw,neutral,-,neutral,-,neutral,-
736,Gue ga ada.,fw,neutral,-,neutral,-,neutral,-
737,Anak-anak gue tuh bikin konten sama kucing gue.,fw,neutral,-,neutral,-,neutral,-
738,Dan gue ga ada disitu.,fw,neutral,-,neutral,-,neutral,-
739,"Dan gue ga tau mereka bikin konten apa,",fw,neutral,-,neutral,-,neutral,-
740,"cuman mereka gue kasih approval untuk naikin konten di TikTok gue,",fw,positive,kepuasan,positive,-,neutral,-
741,kalau memang itu menarik gitu kan.,fw,neutral,-,neutral,-,neutral,-
742,"Ceritanya kucing gue ini adalah kucing anak artis,",fw,neutral,-,neutral,-,neutral,-
743,kata mereka anak-anak gue.,fw,neutral,-,neutral,-,neutral,-
744,Nah ada kucing yang bukan kucing artis.,fw,neutral,-,neutral,-,neutral,-
745,"Nah si yang kucing ini,",fw,neutral,-,neutral,-,neutral,-
746,lagi diceramain kucing artis ini.,fw,negative,hinaan,negative,hinaan,negative,hinaan
747,"Lu bersyukur lu, lu kucing artis lu.",fw,positive,pujian,positive,pujian,positive,pujian
748,"Lu liat tuh, kucing jalanan.",fw,negative,hinaan,neutral,-,neutral,-
749,Makanya sampah.,fw,negative,hinaan,negative,hinaan,negative,-
750,Lagi nyeramain.,fw,neutral,-,neutral,-,neutral,-
751,Tersinggung.,fw,negative,hinaan,negative,hinaan,negative,ketidakpuasan
752,Karena jangan ngomong kayak gitu Bang.,fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
753,Bilang makan sampah.,fw,negative,hinaan,negative,hinaan,negative,hinaan
754,Ke orang-orang gue.,fw,neutral,-,neutral,-,neutral,-
755,Tapi kan mau ga mau kena ke gue.,fw,neutral,-,neutral,-,neutral,-
756,"Nah edukasi moralnya di belakang,",fw,neutral,-,neutral,-,neutral,-
757,"bahwa akhirnya si kucing ini ngomong ke karyawan gue,",fw,neutral,-,neutral,-,neutral,-
758,bahwa ga boleh kayak gitu.,fw,neutral,-,neutral,-,neutral,-
759,Kita sesama kucing itu sama.,fw,positive,pujian,positive,pujian,positive,pujian
760,Ada edukasi gitu.,fw,neutral,-,neutral,-,neutral,-
761,Tapi orang ga liat itu dah.,fw,neutral,-,neutral,ketidakpuasan,neutral,-
762,"Orang udah liat, lu ngapain lu ngomong kucing.",fw,neutral,-,neutral,-,neutral,-
763,"Pertama, waktu joke kucing gue bikin menyinggung orang,",fw,negative,hinaan,neutral,-,neutral,-
764,"sebenernya tuh utuhnya,",fw,neutral,-,neutral,-,neutral,-
765,itu tuh ngomongin soal satwa.,fw,neutral,-,neutral,-,neutral,-
766,"Ngomongin soal melindungi alam, melindungi satwa,",fw,positive,pujian,positive,pujian,positive,pujian
767,menjaga lingkungan.,fw,positive,pujian,positive,pujian,positive,kepuasan
768,Semuanya tuh itu.,fw,neutral,-,neutral,-,neutral,-
769,"Ngomongin soal palung Mariana,",fw,neutral,-,neutral,-,neutral,-
770,"palung terdalam samudera,",fw,neutral,-,neutral,-,neutral,-
771,ada plastik sampahnya.,fw,neutral,-,neutral,-,neutral,-
772,Lagi ngomongin kayak gitu.,fw,neutral,-,neutral,-,neutral,-
773,"Ada nyempil satu joke soal kucing, itu yang dibikin rame.",fw,neutral,-,neutral,-,neutral,-
774,Yang lu gini ya?,fw,neutral,ketidakpuasan,neutral,ketidakpuasan,neutral,-
775,Iya.,fw,neutral,-,neutral,-,neutral,-
776,"Ga gue tendang, jangan gitu.",fw,neutral,-,neutral,-,neutral,-
777,Terlalu cepat gerakannya.,fw,neutral,-,neutral,-,neutral,-
778,Di sana saya nendang.,fw,neutral,-,neutral,-,neutral,-
779,Lu gini.,fw,neutral,-,neutral,-,neutral,-
780,Ga gitu.,fw,neutral,-,neutral,-,neutral,-
781,"Ga, ga, jangan nendang gue kayak gitu.",fw,negative,pengancaman,negative,pengancaman,negative,pengancaman
782,"Lagian pemilik,",fw,neutral,-,neutral,-,neutral,-
783,lu juga pasti kucing lu pernah lu gituin kan.,fw,negative,ketidakpuasan,neutral,-,neutral,-
784,"Lu gini-giniin aja, lu dorong pake kaki.",fw,neutral,-,neutral,-,negative,pengancaman
785,Kucing gue pernah.,fw,neutral,-,neutral,-,neutral,-
786,"Iya, sama itu yang gue lakuin.",fw,neutral,-,neutral,-,neutral,-
787,"Kalau misalnya dia mau masuk kamar gitu,",fw,neutral,-,neutral,-,neutral,-
788,kalau gue lagi males turun kan.,fw,neutral,-,neutral,-,neutral,-
789,"Iya, pake kaki kan.",fw,neutral,-,neutral,-,neutral,-
790,Jangan masuk.,fw,neutral,-,neutral,-,neutral,-
791,"Iya, itu.",fw,neutral,-,neutral,-,neutral,-
792,Gerakan gue tuh kayak gitu.,fw,neutral,-,neutral,-,neutral,-
793,"Liat aja videonya, ga ada gue nendang.",fw,neutral,-,neutral,-,neutral,-
794,Tapi katanya lu cepet gitu.,fw,neutral,-,neutral,-,neutral,-
795,"Jadi pas lu, kucingnya dateng gitu,",fw,neutral,-,neutral,-,neutral,-
796,kalau kita kan agak-agak halus gitu kan.,fw,neutral,-,neutral,-,neutral,-
797,Kalau lu tuh...,fw,neutral,-,neutral,-,neutral,-
798,"Ga ada, ga kayak gitu.",fw,positive,kepuasan,neutral,-,neutral,-
799,Gila kali lu.,fw,negative,hinaan,neutral,-,negative,hinaan
800,"Ga ada, ga kayak gitu.",fw,positive,kepuasan,neutral,-,neutral,-
801,Lu memancing masalah baru nih.,fw,neutral,-,neutral,ketidakpuasan,neutral,-
802,Masalah lama bangkit lagi.,fw,neutral,-,neutral,-,neutral,-
803,Kan ga ada kayak gitu.,fw,neutral,-,neutral,-,neutral,-
804,Dan itu juga masalahnya sama.,fw,neutral,-,neutral,-,neutral,-
805,"Artis keluar dari sini selamat,",fw,neutral,-,neutral,-,neutral,-
806,paji keluar dari sini ga selamat.,fw,negative,pengancaman,negative,pengancaman,negative,pengancaman
807,"Mending gue hidup, itu target gue.",fw,positive,kepuasan,positive,kepuasan,positive,kepuasan
808,"Oh iya, lu ga pake baju biru.",fw,neutral,-,neutral,-,neutral,-
809,"Mending keluar dari sini, target gue hidup aja.",fw,neutral,-,positive,kepuasan,neutral,-
810,"Iya, dia ga pake baju biru tadi katanya.",fw,neutral,-,neutral,-,neutral,-
811,Gue udah denger.,fw,neutral,-,neutral,-,neutral,-
812,Tulis aja biru.,fw,neutral,-,neutral,-,neutral,-
813,Makanya matinya dikit aja.,fw,negative,pengancaman,neutral,-,negative,pengancaman
814,Masih lucu lagi.,fw,positive,kepuasan,neutral,-,positive,pujian
815,Udah kelar.,fw,positive,kepuasan,neutral,-,positive,kepuasan
816,Lucu lu orang ini.,fw,positive,pujian,positive,pujian,positive,pujian
817,Emang lucu gue.,fw,positive,kepuasan,positive,kepuasan,positive,kepuasan
818,"Iya, cuman gue ga ngerti.",fw,negative,ketidakpuasan,neutral,ketidakpuasan,neutral,-
819,Gini loh.,fw,neutral,-,neutral,-,neutral,-
820,"Yang gue tanggep ya,",fw,neutral,-,neutral,-,neutral,-
821,lu tuh aslinya menurut gue lucu.,fw,positive,pujian,positive,pujian,positive,pujian
822,Cuman karena banyak orang,fw,neutral,-,neutral,-,neutral,-
823,yang kayaknya problematik,fw,neutral,-,neutral,-,negative,ketidakpuasan
824,dengan isu-isu yang ada,fw,neutral,-,neutral,-,neutral,-
825,"di lu yang lu bangun,",fw,neutral,-,neutral,-,neutral,-
826,yang lu komentarin.,fw,negative,ketidakpuasan,negative,ketidakpuasan,negative,ketidakpuasan
827,Akhirnya jadi sebel.,fw,negative,ketidakpuasan,negative,ketidakpuasan,negative,ketidakpuasan
828,Sehingga mereka mendenai bahwa lu lucu.,fw,positive,pujian,-,-,neutral,-
829,Atau mungkin salah satunya ga nyambung juga.,fw,neutral,-,neutral,-,neutral,-
830,Tapi gue lebih ngerasa kayaknya banyak yang ga suka.,fw,neutral,-,neutral,-,neutral,-
831,"Nah, kenapa lu mencobloskan diri lu",fw,neutral,-,neutral,ketidakpuasan,neutral,-
832,ke dalam materi-materi,fw,neutral,-,neutral,-,neutral,-
833,yang memungkinkan,fw,neutral,-,neutral,-,neutral,-
834,lu tuh dibenci sama orang?,fw,negative,pengancaman,neutral,ketidakpuasan,neutral,-
835,"Karena ga pernah niat, Ben.",fw,neutral,-,neutral,ketidakpuasan,neutral,-
836,Gue tuh bahkan di pertunjukan gue kemarin,fw,neutral,-,neutral,-,neutral,-
837,"yang di store gue bilang,",fw,neutral,-,neutral,-,neutral,-
838,"orang nanya sama gue,",fw,neutral,-,neutral,-,neutral,-
839,kenapa sih lu bikin joke yang menyinggung?,fw,neutral,-,neutral,ketidakpuasan,neutral,-
840,"Terus gue bilang,",fw,neutral,-,neutral,-,neutral,-
841,lah gue mau bikin joke ga niat untuk menyinggung.,fw,neutral,-,neutral,-,neutral,-
842,Gue ga tau orang tersinggung karena apa.,fw,neutral,-,neutral,ketidakpuasan,neutral,-
843,Barusan ngongol tuh gue liat tuh.,fw,neutral,-,neutral,-,neutral,-
844,Lu nyinggung ngongol katanya.,fw,negative,hinaan,negative,hinaan,negative,hinaan
845,Orang ngongol ga tersinggung?,fw,neutral,-,-,-,neutral,-
846,Lu bilang gini.,fw,neutral,-,neutral,-,neutral,-
847,"Iya, gue tau joke.",fw,positive,kepuasan,neutral,-,positive,kepuasan
848,Ngongol jadi calon apa?,fw,neutral,-,neutral,-,neutral,-
849,Dia jadi calon legislatif dari PSI.,fw,neutral,-,neutral,-,neutral,-
850,Lu milih ngongol.,fw,neutral,-,neutral,-,neutral,-
851,Stress.,fw,neutral,-,neutral,-,neutral,-
852,Orang abis pemilu,fw,neutral,-,neutral,-,neutral,-
853,"ikut ini gagal, stress.",fw,neutral,-,neutral,-,neutral,-
854,Ini belum pemilu udah stress.,fw,negative,hinaan,neutral,-,negative,hinaan
855,Lu bener kan?,fw,negative,ketidakpuasan,neutral,-,negative,hinaan
856,Lu bener kan?,fw,negative,ketidakpuasan,neutral,-,neutral,-
857,"Orang nyalek, gagal, stress.",fw,neutral,-,neutral,-,neutral,-
858,Dia belum mulai nyalek udah stress duluan.,fw,negative,hinaan,negative,hinaan,negative,hinaan
859,Kan namanya ngongol stress.,fw,negative,hinaan,negative,hinaan,negative,hinaan
860,Dan yang Indonesia ga tau adalah,fw,neutral,-,neutral,-,neutral,-
861,nama ngongol stress itu dapetnya dari gue.,fw,positive,kepuasan,neutral,-,positive,kepuasan
862,"Ngongol sering bilang,",fw,neutral,-,neutral,-,neutral,-
863,yang ngasih gue nama ngongol stress itu Panji Pragiwaksono.,fw,negative,hinaan,negative,hinaan,negative,hinaan
864,Tanya ngongol kalo ga percaya.,fw,positive,ketidakpuasan,neutral,ketidakpuasan,neutral,-
865,Ngongol udah pernah kesini belum?,fw,neutral,-,neutral,-,neutral,-
866,"Udah, udah.",fw,neutral,-,neutral,-,neutral,-
867,Udah meninggal ya berarti.,fw,negative,hinaan,neutral,-,neutral,-
868,"Lucu, lucu.",fw,neutral,-,positive,pujian,positive,pujian
869,Sangkain dia pake baju biru juga.,fw,neutral,-,neutral,-,neutral,-
870,Gue pikir pake baju biru.,fw,neutral,-,neutral,-,neutral,-
871,Meninggal gue pikir.,fw,negative,hinaan,neutral,-,neutral,-
872,Tapi gue sama ngongol juga ga ada masalah.,fw,neutral,-,neutral,-,neutral,-
873,"Dan jokenya pun gue bilang,",fw,neutral,-,neutral,-,neutral,-
874,lu sadar?,fw,neutral,-,neutral,-,neutral,-
875,"Gue nanya sama penonton, lu tau ga sih",fw,neutral,-,neutral,ketidakpuasan,neutral,-
876,tapi target dari jokenya ini siapa?,fw,neutral,-,neutral,-,neutral,-
877,Semua penonton tau.,fw,neutral,-,neutral,-,neutral,-
878,"Gue bukan ngetawain ngongol,",fw,positive,pujian,positive,pujian,positive,pujian
879,gue ngetawain PSI.,fw,negative,hinaan,negative,hinaan,negative,hinaan
880,Ngongol mah terserah.,fw,neutral,-,neutral,-,neutral,-
881,"Ngongol mau jadi caleg, mau jadi kades,",fw,positive,kepuasan,positive,kepuasan,neutral,-
882,terserah.,fw,neutral,-,neutral,-,neutral,-
883,Lah ini partai yang milih ngongol gitu loh.,fw,neutral,-,neutral,-,neutral,-
884,Ayo ngongol.,fw,positive,pujian,positive,pujian,neutral,-
885,Itu yang gue pertanyakan gitu.,fw,neutral,-,neutral,ketidakpuasan,neutral,-
886,Dan gue sama PSI pun gapapa.,fw,positive,kepuasan,neutral,-,neutral,-
887,"Tapi kalo lu bikin materi model kayak gitu,",fw,neutral,-,neutral,-,neutral,-
888,lu ada izin ga misalnya kayak ke ngongol?,fw,neutral,-,neutral,-,neutral,-
889,"Ga ada, ga perlu.",fw,neutral,-,neutral,-,neutral,-
890,Kenapa?,fw,neutral,-,neutral,-,neutral,-
891,Kenapa?,fw,neutral,-,neutral,-,neutral,-
892,Kenapa harus izin?,fw,neutral,-,neutral,-,neutral,-
893,Kayak orang tersinggung gimana?,fw,neutral,-,neutral,-,neutral,-
894,Orang mah ga ketahuan tersinggung karena apa.,fw,neutral,-,neutral,-,neutral,-
895,Lu tau ga kemarin ada,fw,neutral,-,neutral,-,neutral,-
896,ojol menyinggung perempuan,fw,negative,hinaan,negative,hinaan,negative,hinaan
897,karena dipanggil mbak.,fw,neutral,-,neutral,-,neutral,-
898,Kalo kan itu rame tuh.,fw,neutral,-,neutral,-,neutral,-
899,Perempuannya ga terima.,fw,neutral,-,neutral,-,neutral,-
900,Jangan manggil saya mbak ya.,fw,negative,ketidakpuasan,negative,ketidakpuasan,negative,ketidakpuasan
901,Kita ini lagi di Jakarta gitu.,fw,neutral,-,neutral,-,neutral,-
902,Terus rame itu di sosmed.,fw,neutral,-,neutral,-,neutral,-
903,Karena ada perempuan tersinggung,fw,neutral,-,neutral,ketidakpuasan,neutral,-
904,hanya karena dipanggil mbak.,fw,neutral,-,neutral,ketidakpuasan,neutral,-
905,Kan aneh kan?,fw,neutral,-,neutral,ketidakpuasan,neutral,-
906,Berarti kan kita kan ga akan pernah tau,fw,neutral,-,neutral,ketidakpuasan,neutral,-
907,orang tersinggung karena apa.,fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
908,Jadi gue berhenti untuk mempermasalahkan,fw,positive,kepuasan,positive,pujian,positive,kepuasan
909,jog gue riset terlalu dalam.,fw,neutral,-,-,-,neutral,-
910,Yang penting gue tau niat gue baik.,fw,positive,pujian,positive,pujian,positive,pujian
911,Niat gue ga pernah untuk menjelekan siapa-siapa.,fw,positive,pujian,positive,pujian,positive,pujian
