no;sentence;case;label_adam;reason_adam;label_anthony;reason_anthony;label_yoshua;reason_yoshua;mdhugol_pred;mdhugol_conf;poerwiyanto_pred;poerwiyanto_conf;hilmansw_pred;hilmansw_conf;ayameRushia_pred;ayameRushia_conf
691;Laki banget, iya.;fw;neutral;-;neutral;-;neutral;-;negative;0.9939431548118591;positive;0.5156860947608948;neutral;0.846318244934082;negative;0.9930932521820068
692;Lebih lucu jaman dia jadi banci kan?;fw;negative;hinaan;negative;hinaan;negative;hinaan;negative;0.976321816444397;positive;0.9962875843048096;neutral;0.9801799058914185;negative;0.9998319149017334
693;Iya.;fw;neutral;-;neutral;-;neutral;-;positive;0.5333751440048218;negative;0.8064069747924805;neutral;0.9998601675033569;positive;0.9972696900367737
694;Masa cuman karena ketakutan;fw;neutral;-;neutral;-;negative;ketidakpuasan;negative;0.9971765279769897;positive;0.9969287514686584;negative;0.999858021736145;negative;0.9997888207435608
695;yang berlebihan menurut gue,;fw;neutral;-;neutral;-;negative;ketidakpuasan;negative;0.996088981628418;positive;0.9673498272895813;negative;0.9998244643211365;negative;0.9997643828392029
696;udah mulai disproporsional,;fw;neutral;-;neutral;ketidakpuasan;negative;ketidakpuasan;negative;0.6463521718978882;positive;0.7836894392967224;negative;0.9996638298034668;neutral;0.9979739785194397
697;kayak gitu-gitu kok sampe jadi masalah gitu.;fw;neutral;-;neutral;ketidakpuasan;negative;ketidakpuasan;negative;0.9963072538375854;positive;0.9979413151741028;negative;0.9998059868812561;negative;0.9997861981391907
698;Kayak dulu kan ada pelawak namanya Esther;fw;neutral;-;neutral;-;neutral;-;neutral;0.9922323226928711;positive;0.9735710024833679;neutral;0.9998912811279297;neutral;0.998879611492157
699;jaman-jaman kita kecil.;fw;neutral;-;neutral;-;neutral;-;negative;0.5277720093727112;positive;0.9822121262550354;neutral;0.9998900890350342;negative;0.9986420273780823
700;Esther tuh ga tau.;fw;neutral;-;neutral;-;neutral;-;negative;0.9915585517883301;neutral;0.6728177070617676;neutral;0.9997860789299011;negative;0.9997757077217102
701;Ada. Lu kan dulu orang susah.;fw;negative;hinaan;negative;hinaan;negative;hinaan;negative;0.9936391711235046;positive;0.9984524250030518;negative;0.9955831170082092;negative;0.9997997879981995
702;Harusnya lu tau.;fw;neutral;-;neutral;ketidakpuasan;negative;ketidakpuasan;neutral;0.9665806293487549;positive;0.8756402134895325;neutral;0.9998825788497925;negative;0.9998220801353455
703;Engga dong.;fw;neutral;-;neutral;-;neutral;-;negative;0.9945302605628967;positive;0.8239703178405762;neutral;0.9998823404312134;negative;0.9997490048408508
704;Ga semua orang susah harus tau Esther dong.;fw;negative;hinaan;negative;hinaan;negative;hinaan;neutral;0.6655002236366272;positive;0.997378945350647;neutral;0.9998718500137329;negative;0.9998302459716797
705;Jadi pelawak jaman dulu.;fw;neutral;-;neutral;-;neutral;-;neutral;0.6465315222740173;positive;0.7461151480674744;neutral;0.9998927116394043;negative;0.9805384874343872
706;Tau ada deh pelawak namanya Esther.;fw;neutral;-;neutral;-;neutral;-;neutral;0.9760748744010925;neutral;0.7123906016349792;neutral;0.9998776912689209;negative;0.5660333037376404
707;Esther kayaknya tau ya gue?;fw;neutral;-;neutral;-;neutral;-;neutral;0.9740458130836487;positive;0.9768660664558411;neutral;0.9998860359191895;negative;0.748191773891449
708;Iya. Jaman dulu tuh,;fw;neutral;-;neutral;-;neutral;-;neutral;0.9618543982505798;positive;0.9867645502090454;neutral;0.9998849630355835;negative;0.9995961785316467
709;maksud gue, ya kita Tessy aja lah.;fw;neutral;-;neutral;-;neutral;-;neutral;0.9737126231193542;positive;0.9610257148742676;neutral;0.9998430013656616;negative;0.9988136291503906
710;Tessy aja jaman kita banci.;fw;negative;hinaan;negative;hinaan;negative;hinaan;negative;0.9975951313972473;positive;0.9970031380653381;negative;0.9996815919876099;negative;0.9998503923416138
711;Sekarang karena aturannya mengatakan seperti itu,;fw;neutral;-;neutral;pujian;neutral;-;negative;0.550387978553772;positive;0.9848989844322205;neutral;0.9998800754547119;negative;0.9986525177955627
712;karena takut anak-anak terpengaruh,;fw;neutral;-;neutral;-;neutral;-;negative;0.9833112955093384;positive;0.9966854453086853;negative;0.999283492565155;negative;0.9998200535774231
713;terus Tessy harus jadi sapam.;fw;negative;hinaan;-;-;neutral;-;neutral;0.7742419242858887;positive;0.7570565938949585;neutral;0.9998542070388794;negative;0.9994538426399231
714;Padahal kan pertanyaannya,;fw;neutral;-;neutral;-;neutral;-;negative;0.6302816271781921;positive;0.9967509508132935;neutral;0.9998315572738647;neutral;0.7257482409477234
715;lah kok bisa anak-anak terpengaruh sama Tessy?;fw;neutral;-;neutral;-;neutral;-;negative;0.9970834851264954;positive;0.9969115853309631;negative;0.9959036707878113;negative;0.9998483657836914
716;Bukannya harusnya lebih besar pengaruh orang tuanya?;fw;neutral;-;neutral;ketidakpuasan;neutral;-;negative;0.9952359795570374;positive;0.9545383453369141;neutral;0.9998594522476196;negative;0.999790608882904
717;Ini asik nih ngobrol sama orang ini.;fw;positive;kepuasan;positive;kepuasan;positive;kepuasan;positive;0.9765468835830688;positive;0.9976385831832886;positive;0.9997850060462952;positive;0.9984013438224792
718;Luas nih pokoknya tau.;fw;positive;pujian;positive;kepuasan;positive;pujian;positive;0.9936136603355408;positive;0.9103814363479614;positive;0.9976755976676941;neutral;0.5893656611442566
719;Buku-buku apa semua baca.;fw;positive;pujian;positive;kepuasan;positive;kepuasan;negative;0.5907492637634277;neutral;0.5478763580322266;neutral;0.9998421669006348;negative;0.9993769526481628
720;Cuman memang gue ngerasa ya,;fw;neutral;-;neutral;ketidakpuasan;neutral;-;neutral;0.7637900710105896;positive;0.9974381923675537;neutral;0.9998173117637634;negative;0.9971765279769897
721;banyak sekali orang Indonesia tuh ga siap aja;fw;neutral;-;neutral;ketidakpuasan;negative;ketidakpuasan;negative;0.9981607794761658;positive;0.547604501247406;negative;0.9998886585235596;negative;0.9998444318771362
722;kalau kita bicara terlalu jauh, terlalu luas.;fw;neutral;-;neutral;ketidakpuasan;neutral;-;negative;0.9952206015586853;positive;0.9970992803573608;neutral;0.9998528957366943;negative;0.9996554851531982
723;Karena benturan-benturannya tuh banyak.;fw;neutral;-;neutral;ketidakpuasan;neutral;-;negative;0.7819920182228088;positive;0.89070725440979;negative;0.999382495880127;negative;0.9997681975364685
724;Apalagi gue baca dari beberapa data-data lu,;fw;neutral;-;neutral;-;neutral;-;neutral;0.9839664101600647;positive;0.9919553399085999;neutral;0.9831578135490417;neutral;0.9954562187194824
725;lu sempet berapa kali tuh disikat tuh.;fw;neutral;-;neutral;-;neutral;-;neutral;0.969719409942627;positive;0.9838922023773193;neutral;0.9998884201049805;negative;0.9998311996459961
726;Dari masalah pilkada, kucing.;fw;neutral;-;neutral;-;neutral;-;negative;0.9647588133811951;neutral;0.9777381420135498;negative;0.9998513460159302;negative;0.9982195496559143
727;Gue juga kena tuh kucing tuh.;fw;neutral;-;neutral;-;neutral;-;negative;0.9826774001121521;neutral;0.9086583852767944;negative;0.9998043179512024;negative;0.9998235106468201
728;Kena kucing gue di TikTok sempet pernah kena.;fw;neutral;-;neutral;-;neutral;-;neutral;0.9790140986442566;neutral;0.8706130981445312;neutral;0.9993662238121033;negative;0.999311089515686
729;Jadi anak-anak gue bikin konten.;fw;neutral;-;neutral;-;neutral;-;neutral;0.9870955944061279;neutral;0.735428512096405;neutral;0.9998663663864136;neutral;0.5055050849914551
730;Oh gue inget!;fw;neutral;-;neutral;-;neutral;-;positive;0.8126083612442017;negative;0.9302013516426086;neutral;0.9998838901519775;negative;0.9995300769805908
731;Gue inget orang mention gue soal lu.;fw;neutral;-;neutral;-;neutral;-;neutral;0.9855663776397705;neutral;0.7472316026687622;neutral;0.9997640252113342;negative;0.9639503359794617
732;Iya gue inget.;fw;neutral;-;neutral;-;neutral;-;neutral;0.963415265083313;positive;0.670589029788971;neutral;0.999879002571106;negative;0.9996774196624756
733;Jadi anak-anak gue bukan gue.;fw;neutral;-;neutral;-;neutral;-;negative;0.9714207649230957;positive;0.9944275617599487;neutral;0.9998824596405029;negative;0.9973152279853821
734;Lu?;fw;neutral;-;neutral;-;neutral;-;neutral;0.5516149997711182;positive;0.9886428713798523;neutral;0.9998418092727661;negative;0.9978323578834534
735;Engga gue ga ada.;fw;neutral;-;neutral;-;neutral;-;negative;0.977307915687561;positive;0.48000985383987427;neutral;0.9942110776901245;negative;0.9994785189628601
736;Gue ga ada.;fw;neutral;-;neutral;-;neutral;-;negative;0.9848039150238037;negative;0.49468499422073364;negative;0.9929941296577454;negative;0.9996706247329712
737;Anak-anak gue tuh bikin konten sama kucing gue.;fw;neutral;-;neutral;-;neutral;-;negative;0.890038251876831;positive;0.4957524836063385;neutral;0.9995957016944885;negative;0.9997574687004089
738;Dan gue ga ada disitu.;fw;neutral;-;neutral;-;neutral;-;negative;0.6383890509605408;positive;0.5270572304725647;neutral;0.9977602958679199;negative;0.9984127283096313
739;Dan gue ga tau mereka bikin konten apa,;fw;neutral;-;neutral;-;neutral;-;negative;0.9822772145271301;neutral;0.5801684260368347;neutral;0.999824583530426;negative;0.9990373849868774
740;cuman mereka gue kasih approval untuk naikin konten di TikTok gue,;fw;positive;kepuasan;positive;-;neutral;-;neutral;0.9955068826675415;negative;0.9476903080940247;neutral;0.9998736381530762;neutral;0.9893798232078552
741;kalau memang itu menarik gitu kan.;fw;neutral;-;neutral;-;neutral;-;positive;0.6785761713981628;positive;0.8058927655220032;neutral;0.999852180480957;positive;0.9980053305625916
742;Ceritanya kucing gue ini adalah kucing anak artis,;fw;neutral;-;neutral;-;neutral;-;negative;0.7512604594230652;neutral;0.7536831498146057;neutral;0.9933186769485474;negative;0.9977433681488037
743;kata mereka anak-anak gue.;fw;neutral;-;neutral;-;neutral;-;negative;0.5787611603736877;positive;0.8428289294242859;neutral;0.9998911619186401;negative;0.99919193983078
744;Nah ada kucing yang bukan kucing artis.;fw;neutral;-;neutral;-;neutral;-;negative;0.8556082844734192;positive;0.5064287185668945;neutral;0.9994426369667053;negative;0.8145971894264221
745;Nah si yang kucing ini,;fw;neutral;-;neutral;-;neutral;-;negative;0.8464211821556091;positive;0.8876688480377197;neutral;0.9781749248504639;negative;0.9956112504005432
746;lagi diceramain kucing artis ini.;fw;negative;hinaan;negative;hinaan;negative;hinaan;negative;0.989318311214447;positive;0.8923419117927551;negative;0.9998015761375427;negative;0.9995427131652832
747;Lu bersyukur lu, lu kucing artis lu.;fw;positive;pujian;positive;pujian;positive;pujian;negative;0.972551167011261;negative;0.9826648831367493;neutral;0.9981914162635803;negative;0.9973498582839966
748;Lu liat tuh, kucing jalanan.;fw;negative;hinaan;neutral;-;neutral;-;negative;0.9768093228340149;positive;0.9937360286712646;neutral;0.7407578229904175;negative;0.9998067021369934
749;Makanya sampah.;fw;negative;hinaan;negative;hinaan;negative;-;negative;0.9979954957962036;positive;0.9980043768882751;neutral;0.9997138381004333;negative;0.9998301267623901
750;Lagi nyeramain.;fw;neutral;-;neutral;-;neutral;-;negative;0.9520710110664368;positive;0.9955969452857971;neutral;0.9995414018630981;negative;0.9865719079971313
751;Tersinggung.;fw;negative;hinaan;negative;hinaan;negative;ketidakpuasan;negative;0.9980375170707703;positive;0.9800874590873718;neutral;0.8891788721084595;positive;0.6874104142189026
752;Karena jangan ngomong kayak gitu Bang.;fw;neutral;-;neutral;ketidakpuasan;negative;ketidakpuasan;negative;0.9948157668113708;positive;0.9324203133583069;neutral;0.9998838901519775;negative;0.9997760653495789
753;Bilang makan sampah.;fw;negative;hinaan;negative;hinaan;negative;hinaan;negative;0.9977356195449829;positive;0.9921992421150208;neutral;0.9759737849235535;negative;0.9998428821563721
754;Ke orang-orang gue.;fw;neutral;-;neutral;-;neutral;-;neutral;0.9088298082351685;positive;0.9645955562591553;neutral;0.999874472618103;negative;0.9992238283157349
755;Tapi kan mau ga mau kena ke gue.;fw;neutral;-;neutral;-;neutral;-;negative;0.9896648526191711;positive;0.9951136708259583;neutral;0.9998631477355957;negative;0.9996378421783447
756;Nah edukasi moralnya di belakang,;fw;neutral;-;neutral;-;neutral;-;neutral;0.8613228797912598;neutral;0.9642819762229919;neutral;0.9998389482498169;negative;0.9919438362121582
757;bahwa akhirnya si kucing ini ngomong ke karyawan gue,;fw;neutral;-;neutral;-;neutral;-;neutral;0.920114278793335;positive;0.9830690622329712;neutral;0.9998267292976379;negative;0.9996194839477539
758;bahwa ga boleh kayak gitu.;fw;neutral;-;neutral;-;neutral;-;negative;0.9699525237083435;positive;0.9004348516464233;neutral;0.999893307685852;negative;0.9997972846031189
759;Kita sesama kucing itu sama.;fw;positive;pujian;positive;pujian;positive;pujian;neutral;0.8467877507209778;positive;0.9679351449012756;neutral;0.999603807926178;negative;0.993218719959259
760;Ada edukasi gitu.;fw;neutral;-;neutral;-;neutral;-;positive;0.7607235908508301;neutral;0.9820961952209473;neutral;0.9998713731765747;negative;0.9053437113761902
761;Tapi orang ga liat itu dah.;fw;neutral;-;neutral;ketidakpuasan;neutral;-;negative;0.9908159971237183;positive;0.9974479675292969;neutral;0.9994893074035645;negative;0.9998154044151306
762;Orang udah liat, lu ngapain lu ngomong kucing.;fw;neutral;-;neutral;-;neutral;-;negative;0.9874420762062073;positive;0.9979245662689209;neutral;0.9944633841514587;negative;0.9998049139976501
763;Pertama, waktu joke kucing gue bikin menyinggung orang,;fw;negative;hinaan;neutral;-;neutral;-;negative;0.9463465809822083;positive;0.9234305024147034;negative;0.9998231530189514;negative;0.9994900226593018
764;sebenernya tuh utuhnya,;fw;neutral;-;neutral;-;neutral;-;neutral;0.9822057485580444;positive;0.6418679356575012;neutral;0.9998711347579956;negative;0.8435571193695068
765;itu tuh ngomongin soal satwa.;fw;neutral;-;neutral;-;neutral;-;negative;0.9569792151451111;positive;0.9706943035125732;neutral;0.9998636245727539;negative;0.9998180270195007
766;Ngomongin soal melindungi alam, melindungi satwa,;fw;positive;pujian;positive;pujian;positive;pujian;negative;0.5291865468025208;neutral;0.9794354438781738;neutral;0.9998670816421509;negative;0.9980140924453735
767;menjaga lingkungan.;fw;positive;pujian;positive;pujian;positive;kepuasan;positive;0.7460150718688965;negative;0.89913409948349;neutral;0.9998903274536133;positive;0.9994232654571533
768;Semuanya tuh itu.;fw;neutral;-;neutral;-;neutral;-;negative;0.467478483915329;positive;0.995513379573822;neutral;0.9998806715011597;negative;0.9998430013656616
769;Ngomongin soal palung Mariana,;fw;neutral;-;neutral;-;neutral;-;neutral;0.9924081563949585;neutral;0.9790690541267395;neutral;0.9996870756149292;negative;0.9996080994606018
770;palung terdalam samudera,;fw;neutral;-;neutral;-;neutral;-;neutral;0.8983688354492188;neutral;0.4860727787017822;neutral;0.9495214223861694;positive;0.9971444010734558
771;ada plastik sampahnya.;fw;neutral;-;neutral;-;neutral;-;negative;0.94734787940979;positive;0.9938733577728271;neutral;0.9998797178268433;negative;0.9998519420623779
772;Lagi ngomongin kayak gitu.;fw;neutral;-;neutral;-;neutral;-;negative;0.8797096014022827;positive;0.9876784682273865;neutral;0.9998817443847656;negative;0.9997193217277527
773;Ada nyempil satu joke soal kucing, itu yang dibikin rame.;fw;neutral;-;neutral;-;neutral;-;neutral;0.9208171367645264;positive;0.8889830708503723;neutral;0.984067976474762;neutral;0.6929262280464172
774;Yang lu gini ya?;fw;neutral;ketidakpuasan;neutral;ketidakpuasan;neutral;-;negative;0.8124052882194519;positive;0.9536616206169128;neutral;0.9998257756233215;negative;0.9981437921524048
775;Iya.;fw;neutral;-;neutral;-;neutral;-;positive;0.5333751440048218;negative;0.8064069747924805;neutral;0.9998601675033569;positive;0.9972696900367737
776;Ga gue tendang, jangan gitu.;fw;neutral;-;neutral;-;neutral;-;negative;0.9954410791397095;positive;0.9145678281784058;neutral;0.9998515844345093;negative;0.9998077750205994
777;Terlalu cepat gerakannya.;fw;neutral;-;neutral;-;neutral;-;negative;0.9975258708000183;positive;0.9949554800987244;neutral;0.9998766183853149;negative;0.9868864417076111
778;Di sana saya nendang.;fw;neutral;-;neutral;-;neutral;-;positive;0.9808298349380493;neutral;0.9814644455909729;neutral;0.9997912049293518;negative;0.9996194839477539
779;Lu gini.;fw;neutral;-;neutral;-;neutral;-;negative;0.9868019223213196;positive;0.9941244721412659;neutral;0.999745786190033;negative;0.9980771541595459
780;Ga gitu.;fw;neutral;-;neutral;-;neutral;-;negative;0.6844213008880615;negative;0.7183974981307983;neutral;0.9998399019241333;negative;0.9996541738510132
781;Ga, ga, jangan nendang gue kayak gitu.;fw;negative;pengancaman;negative;pengancaman;negative;pengancaman;negative;0.9958853125572205;positive;0.8953083753585815;neutral;0.9998656511306763;negative;0.9997594952583313
782;Lagian pemilik,;fw;neutral;-;neutral;-;neutral;-;negative;0.858976423740387;positive;0.8333476185798645;neutral;0.9998786449432373;neutral;0.9753022789955139
783;lu juga pasti kucing lu pernah lu gituin kan.;fw;negative;ketidakpuasan;neutral;-;neutral;-;negative;0.9359056949615479;positive;0.9716715812683105;neutral;0.9998416900634766;negative;0.9984883069992065
784;Lu gini-giniin aja, lu dorong pake kaki.;fw;neutral;-;neutral;-;negative;pengancaman;negative;0.9374735355377197;positive;0.9922986626625061;neutral;0.9413706064224243;negative;0.9992456436157227
785;Kucing gue pernah.;fw;neutral;-;neutral;-;neutral;-;neutral;0.9645606875419617;positive;0.6303644180297852;neutral;0.9998539686203003;neutral;0.5214593410491943
786;Iya, sama itu yang gue lakuin.;fw;neutral;-;neutral;-;neutral;-;neutral;0.8730839490890503;positive;0.9895561337471008;neutral;0.9998241066932678;positive;0.973625898361206
787;Kalau misalnya dia mau masuk kamar gitu,;fw;neutral;-;neutral;-;neutral;-;neutral;0.9945989847183228;neutral;0.9974913597106934;neutral;0.999891996383667;neutral;0.994475781917572
788;kalau gue lagi males turun kan.;fw;neutral;-;neutral;-;neutral;-;negative;0.9826822280883789;positive;0.9830189347267151;neutral;0.9998189806938171;negative;0.9997472167015076
789;Iya, pake kaki kan.;fw;neutral;-;neutral;-;neutral;-;neutral;0.8948531150817871;positive;0.9971717000007629;neutral;0.999880313873291;negative;0.6162344813346863
790;Jangan masuk.;fw;neutral;-;neutral;-;neutral;-;negative;0.9569969177246094;positive;0.6220981478691101;neutral;0.9998867511749268;negative;0.9976734519004822
791;Iya, itu.;fw;neutral;-;neutral;-;neutral;-;neutral;0.8898819088935852;positive;0.9944213032722473;neutral;0.9998003840446472;negative;0.9969358444213867
792;Gerakan gue tuh kayak gitu.;fw;neutral;-;neutral;-;neutral;-;negative;0.9880927205085754;positive;0.9309834837913513;neutral;0.9815608859062195;negative;0.9998075366020203
793;Liat aja videonya, ga ada gue nendang.;fw;neutral;-;neutral;-;neutral;-;negative;0.8883160352706909;positive;0.8866404294967651;negative;0.6380339860916138;negative;0.9980840682983398
794;Tapi katanya lu cepet gitu.;fw;neutral;-;neutral;-;neutral;-;negative;0.9579979777336121;positive;0.9978566765785217;neutral;0.9998617172241211;negative;0.9998173117637634
795;Jadi pas lu, kucingnya dateng gitu,;fw;neutral;-;neutral;-;neutral;-;neutral;0.6154311299324036;positive;0.9863818883895874;neutral;0.9998797178268433;neutral;0.5176016688346863
796;kalau kita kan agak-agak halus gitu kan.;fw;neutral;-;neutral;-;neutral;-;negative;0.7984987497329712;positive;0.995686411857605;neutral;0.9998511075973511;negative;0.9996517896652222
797;Kalau lu tuh...;fw;neutral;-;neutral;-;neutral;-;negative;0.9678683876991272;positive;0.9702029824256897;neutral;0.9998395442962646;negative;0.9998120665550232
798;Ga ada, ga kayak gitu.;fw;positive;kepuasan;neutral;-;neutral;-;negative;0.9931027889251709;positive;0.9542763233184814;neutral;0.9991685152053833;negative;0.9996780157089233
799;Gila kali lu.;fw;negative;hinaan;neutral;-;negative;hinaan;negative;0.9851498603820801;positive;0.9984740614891052;neutral;0.9997628331184387;positive;0.7628278136253357
800;Ga ada, ga kayak gitu.;fw;positive;kepuasan;neutral;-;neutral;-;negative;0.9931027889251709;positive;0.9542763233184814;neutral;0.9991685152053833;negative;0.9996780157089233
801;Lu memancing masalah baru nih.;fw;neutral;-;neutral;ketidakpuasan;neutral;-;negative;0.995609700679779;positive;0.9930617213249207;negative;0.9998772144317627;negative;0.9995697140693665
802;Masalah lama bangkit lagi.;fw;neutral;-;neutral;-;neutral;-;negative;0.9925819635391235;positive;0.9964548349380493;negative;0.9998378753662109;negative;0.9998052716255188
803;Kan ga ada kayak gitu.;fw;neutral;-;neutral;-;neutral;-;negative;0.980815589427948;positive;0.9935141801834106;neutral;0.9998822212219238;negative;0.9995025396347046
804;Dan itu juga masalahnya sama.;fw;neutral;-;neutral;-;neutral;-;negative;0.8311998248100281;positive;0.9797146916389465;neutral;0.9997840523719788;negative;0.9997259974479675
805;Artis keluar dari sini selamat,;fw;neutral;-;neutral;-;neutral;-;neutral;0.9611160159111023;neutral;0.971974790096283;negative;0.6161067485809326;neutral;0.9752065539360046
806;paji keluar dari sini ga selamat.;fw;negative;pengancaman;negative;pengancaman;negative;pengancaman;negative;0.9964643716812134;neutral;0.9728435277938843;negative;0.9997586607933044;negative;0.9998127818107605
807;Mending gue hidup, itu target gue.;fw;positive;kepuasan;positive;kepuasan;positive;kepuasan;neutral;0.5946964621543884;positive;0.9875594973564148;neutral;0.9998722076416016;negative;0.9983856678009033
808;Oh iya, lu ga pake baju biru.;fw;neutral;-;neutral;-;neutral;-;negative;0.8165073394775391;positive;0.9434036016464233;neutral;0.9998816251754761;negative;0.7978444695472717
809;Mending keluar dari sini, target gue hidup aja.;fw;neutral;-;positive;kepuasan;neutral;-;negative;0.8122037053108215;positive;0.986114501953125;neutral;0.9998410940170288;negative;0.9983198046684265
810;Iya, dia ga pake baju biru tadi katanya.;fw;neutral;-;neutral;-;neutral;-;negative;0.6989785432815552;positive;0.9764610528945923;neutral;0.9998226761817932;neutral;0.9751665592193604
811;Gue udah denger.;fw;neutral;-;neutral;-;neutral;-;neutral;0.9905779361724854;positive;0.6478829383850098;neutral;0.9998718500137329;negative;0.9735888242721558
812;Tulis aja biru.;fw;neutral;-;neutral;-;neutral;-;neutral;0.97270667552948;neutral;0.9653573632240295;neutral;0.999872088432312;neutral;0.8452584147453308
813;Makanya matinya dikit aja.;fw;negative;pengancaman;neutral;-;negative;pengancaman;negative;0.995107889175415;positive;0.9975989460945129;neutral;0.9996330738067627;negative;0.9997672438621521
814;Masih lucu lagi.;fw;positive;kepuasan;neutral;-;positive;pujian;positive;0.9931331276893616;negative;0.5592865347862244;neutral;0.9986585378646851;positive;0.999613344669342
815;Udah kelar.;fw;positive;kepuasan;neutral;-;positive;kepuasan;neutral;0.9171598553657532;positive;0.771783709526062;neutral;0.9998719692230225;positive;0.7752442359924316
816;Lucu lu orang ini.;fw;positive;pujian;positive;pujian;positive;pujian;positive;0.6328498125076294;negative;0.5148773193359375;neutral;0.9998676776885986;negative;0.9989651441574097
817;Emang lucu gue.;fw;positive;kepuasan;positive;kepuasan;positive;kepuasan;positive;0.989547610282898;negative;0.9896970391273499;neutral;0.9998645782470703;positive;0.9994093179702759
818;Iya, cuman gue ga ngerti.;fw;negative;ketidakpuasan;neutral;ketidakpuasan;neutral;-;negative;0.9781212210655212;positive;0.9976009726524353;negative;0.9227731823921204;negative;0.9997511506080627
819;Gini loh.;fw;neutral;-;neutral;-;neutral;-;neutral;0.858620285987854;positive;0.9849877953529358;neutral;0.9998767375946045;negative;0.9994451403617859
820;Yang gue tanggep ya,;fw;neutral;-;neutral;-;neutral;-;neutral;0.9926453828811646;positive;0.6551275253295898;neutral;0.9994040727615356;negative;0.997205913066864
821;lu tuh aslinya menurut gue lucu.;fw;positive;pujian;positive;pujian;positive;pujian;positive;0.9770811200141907;negative;0.8036735653877258;neutral;0.9995837807655334;negative;0.8999220132827759
822;Cuman karena banyak orang;fw;neutral;-;neutral;-;neutral;-;negative;0.9697059392929077;positive;0.9973986148834229;negative;0.5357373952865601;negative;0.9980599284172058
823;yang kayaknya problematik;fw;neutral;-;neutral;-;negative;ketidakpuasan;negative;0.9912852644920349;positive;0.9820865392684937;negative;0.7795370221138;negative;0.9983702301979065
824;dengan isu-isu yang ada;fw;neutral;-;neutral;-;neutral;-;neutral;0.8984550833702087;neutral;0.9196009635925293;neutral;0.9998528957366943;neutral;0.5096607804298401
825;di lu yang lu bangun,;fw;neutral;-;neutral;-;neutral;-;negative;0.6301186084747314;positive;0.7770690321922302;neutral;0.9998069405555725;positive;0.9953048229217529
826;yang lu komentarin.;fw;negative;ketidakpuasan;negative;ketidakpuasan;negative;ketidakpuasan;negative;0.7045586705207825;positive;0.963096022605896;neutral;0.9998726844787598;negative;0.6643697023391724
827;Akhirnya jadi sebel.;fw;negative;ketidakpuasan;negative;ketidakpuasan;negative;ketidakpuasan;negative;0.9973219037055969;neutral;0.9536478519439697;negative;0.9863300919532776;negative;0.999805748462677
828;Sehingga mereka mendenai bahwa lu lucu.;fw;positive;pujian;-;-;neutral;-;positive;0.6122612357139587;positive;0.5271855592727661;neutral;0.9998761415481567;positive;0.999549925327301
829;Atau mungkin salah satunya ga nyambung juga.;fw;neutral;-;neutral;-;neutral;-;negative;0.9874386191368103;positive;0.8566058278083801;neutral;0.891302764415741;negative;0.9582929611206055
830;Tapi gue lebih ngerasa kayaknya banyak yang ga suka.;fw;neutral;-;neutral;-;neutral;-;negative;0.991783857345581;negative;0.5712898969650269;neutral;0.9879713654518127;negative;0.9997754693031311
831;Nah, kenapa lu mencobloskan diri lu;fw;neutral;-;neutral;ketidakpuasan;neutral;-;negative;0.9838570356369019;positive;0.9810444712638855;neutral;0.9998282194137573;negative;0.9958273768424988
832;ke dalam materi-materi;fw;neutral;-;neutral;-;neutral;-;neutral;0.9739773869514465;neutral;0.9739179015159607;neutral;0.9998760223388672;positive;0.5467023253440857
833;yang memungkinkan;fw;neutral;-;neutral;-;neutral;-;positive;0.763813853263855;negative;0.9935911893844604;neutral;0.9998772144317627;positive;0.9989211559295654
834;lu tuh dibenci sama orang?;fw;negative;pengancaman;neutral;ketidakpuasan;neutral;-;negative;0.9981511235237122;positive;0.9978815913200378;negative;0.999881386756897;negative;0.9998584985733032
835;Karena ga pernah niat, Ben.;fw;neutral;-;neutral;ketidakpuasan;neutral;-;negative;0.988092303276062;positive;0.845309853553772;negative;0.9996343851089478;negative;0.9997221827507019
836;Gue tuh bahkan di pertunjukan gue kemarin;fw;neutral;-;neutral;-;neutral;-;neutral;0.9836042523384094;neutral;0.9742968082427979;neutral;0.9998493194580078;negative;0.9997956156730652
837;yang di store gue bilang,;fw;neutral;-;neutral;-;neutral;-;neutral;0.9960293769836426;neutral;0.9758939743041992;neutral;0.9998853206634521;neutral;0.99772709608078
838;orang nanya sama gue,;fw;neutral;-;neutral;-;neutral;-;neutral;0.9550440907478333;positive;0.9492424130439758;neutral;0.9997928738594055;negative;0.9993541836738586
839;kenapa sih lu bikin joke yang menyinggung?;fw;neutral;-;neutral;ketidakpuasan;neutral;-;negative;0.9959747195243835;positive;0.9886820316314697;neutral;0.9790360331535339;negative;0.9998132586479187
840;Terus gue bilang,;fw;neutral;-;neutral;-;neutral;-;neutral;0.9838287830352783;positive;0.9885464906692505;neutral;0.9998756647109985;negative;0.738731324672699
841;lah gue mau bikin joke ga niat untuk menyinggung.;fw;neutral;-;neutral;-;neutral;-;negative;0.9945825934410095;positive;0.9909824728965759;negative;0.9474039077758789;negative;0.9996849298477173
842;Gue ga tau orang tersinggung karena apa.;fw;neutral;-;neutral;ketidakpuasan;neutral;-;negative;0.7866919636726379;positive;0.9904962778091431;neutral;0.9625225067138672;negative;0.99985671043396
843;Barusan ngongol tuh gue liat tuh.;fw;neutral;-;neutral;-;neutral;-;negative;0.9681203365325928;positive;0.9678587317466736;negative;0.9998881816864014;negative;0.9998171925544739
